sample,nm,period,height,gap,theta_1,theta_2,transmittance
49,1,0.6230833179,0.425277817,0.09525035960000001,13.5371372521,27.960230814099997,0.22923896649999997
50,0,0.6251256344,0.416474876,0.10210677900000001,11.975066408,26.4138063935,0.26752627100000004
50,1,0.6251256344,0.416474876,0.10210677900000001,11.975066408,26.4138063935,0.2138481598
50,2,0.6251256344,0.416474876,0.10210677900000001,11.975066408,26.4138063935,0.17409649289999998
50,3,0.6251256344,0.416474876,0.10210677900000001,11.975066408,26.4138063935,0.0896317897
51,0,0.5403271393,0.4050802919,0.0927939966,12.8330923197,26.2256965821,0.6394295067
52,0,0.6097068655,0.3927836799,0.1083251984,11.897188442400001,27.2877562215,0.28846954329999996
52,1,0.6097068655,0.3927836799,0.1083251984,11.897188442400001,27.2877562215,0.41353104490000003
52,2,0.6097068655,0.3927836799,0.1083251984,11.897188442400001,27.2877562215,0.3276988259
53,0,0.5549838103,0.3854069496,0.0936701456,12.911818758399999,27.572920795100003,0.6190762732
54,0,0.605197654,0.36804291969999997,0.1065702884,13.086118044600001,25.0069752675,0.2257476821
54,1,0.605197654,0.36804291969999997,0.1065702884,13.086118044600001,25.0069752675,0.0006742105999999999
54,2,0.605197654,0.36804291969999997,0.1065702884,13.086118044600001,25.0069752675,0.5567892018
55,0,0.6091005282999999,0.36612753340000004,0.10762824859999999,13.188763467000001,25.1969562691,0.6721507741999999
55,1,0.6091005282999999,0.36612753340000004,0.10762824859999999,13.188763467000001,25.1969562691,0.2660098682
56,0,0.653959076,0.38260364659999996,0.0990995773,12.218132593499998,25.6225250731,0.09524884800000001
56,1,0.653959076,0.38260364659999996,0.0990995773,12.218132593499998,25.6225250731,0.3043221613
56,2,0.653959076,0.38260364659999996,0.0990995773,12.218132593499998,25.6225250731,0.1563747693
56,3,0.653959076,0.38260364659999996,0.0990995773,12.218132593499998,25.6225250731,0.0394834197
57,0,0.6014784042,0.39769799840000003,0.09369320099999999,12.2600943668,28.2019201854,0.6695199133
57,1,0.6014784042,0.39769799840000003,0.09369320099999999,12.2600943668,28.2019201854,0.26780444709999995
58,0,0.6153840735,0.3974065574,0.09133269039999999,12.72880128,30.0634231882,0.2833972184
58,1,0.6153840735,0.3974065574,0.09133269039999999,12.72880128,30.0634231882,0.2782272491
58,2,0.6153840735,0.3974065574,0.09133269039999999,12.72880128,30.0634231882,0.2363715763
59,0,0.6395643049,0.4289012311,0.09618987789999998,12.0703800206,26.6215519585,0.6996539715000001
59,1,0.6395643049,0.4289012311,0.09618987789999998,12.0703800206,26.6215519585,0.2265168594
60,0,0.6399382318,0.3704193037,0.0955435519,13.1914271976,28.4060750146,0.1532560269
60,1,0.6399382318,0.3704193037,0.0955435519,13.1914271976,28.4060750146,0.33964982899999996
60,2,0.6399382318,0.3704193037,0.0955435519,13.1914271976,28.4060750146,0.1740513434
60,3,0.6399382318,0.3704193037,0.0955435519,13.1914271976,28.4060750146,0.08968199560000001
61,0,0.629512948,0.424587815,0.099175178,11.876567343,24.954594012399998,0.6819578654
61,1,0.629512948,0.424587815,0.099175178,11.876567343,24.954594012399998,0.2702490346
62,0,0.5959805849,0.4126860235,0.09254146320000001,12.076822043,25.57401545,0.2812887013
62,1,0.5959805849,0.4126860235,0.09254146320000001,12.076822043,25.57401545,0.1716878692
62,2,0.5959805849,0.4126860235,0.09254146320000001,12.076822043,25.57401545,0.2374989787
63,0,0.6252624232,0.37552731450000004,0.0933068129,11.770677575399999,29.820130139699998,0.6890140592999999
63,1,0.6252624232,0.37552731450000004,0.0933068129,11.770677575399999,29.820130139699998,0.2499995094
64,0,0.644504307,0.40848594899999996,0.0901718153,11.551750856500002,30.1078069257,0.189346492
64,1,0.644504307,0.40848594899999996,0.0901718153,11.551750856500002,30.1078069257,0.22322395190000002
64,2,0.644504307,0.40848594899999996,0.0901718153,11.551750856500002,30.1078069257,0.5125579788
64,3,0.644504307,0.40848594899999996,0.0901718153,11.551750856500002,30.1078069257,0.08989953560000001
65,0,0.6517620267,0.3752213428,0.0922261667,12.5933316726,27.8519854535,0.6533111816
65,1,0.6517620267,0.3752213428,0.0922261667,12.5933316726,27.8519854535,0.23786098919999998
